Name,Location,Rating,Local Image Path,Original Image URL,Latitude,Longitude
Mì Dầu Hào HongKong Thượng Hạng 港式蚝油捞面 - ChaChaanTeng - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\0_Mì Dầu Hào HongKong Thượng Hạng 港式蚝油捞面 - ChaChaanT.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-m02p5mp03botd0@resize_ss640x400,10.7519897,106.6655751
Đậu Hủ Cá Viên HongKong 港式鱼丸豆腐 - ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\1_Đậu Hủ Cá Viên HongKong 港式鱼丸豆腐 - ChaChaanTeng.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi7y11zrt2176@resize_ss640x400,10.7519897,106.6655751
Xôi Cadé Trần Phú Chính Gốc - 咖椰糯米饭,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.3,foody_images\2_Xôi Cadé Trần Phú Chính Gốc - 咖椰糯米饭.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3m5yv7kn73wf1@resize_ss640x400,10.7519897,106.6655751
Kaya Toast Nướng - Cá Viên 咖椰吐司-鱼丸 & ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2,foody_images\3_Kaya Toast Nướng - Cá Viên 咖椰吐司-鱼丸 & ChaChaanTeng.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwab8487v84b39@resize_ss640x400,10.7519897,106.6655751
American Hotdog,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\4_American Hotdog.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3kc43a700xoa2@resize_ss640x400,10.7519897,106.6655751
Tiramisu Kiểu Italy Nguyên Bản Thủ Công - Breakfast Shop - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\5_Tiramisu Kiểu Italy Nguyên Bản Thủ Công - Breakfas.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-mchpal1ki9wc11@resize_ss640x400,10.7519897,106.6655751
港式甜品店 Trôi Nước HongKong - ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.6,foody_images\6_港式甜品店 Trôi Nước HongKong - ChaChaanTeng.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3j9a3jjjzxkfd@resize_ss640x400,10.7519897,106.6655751
港式点心火锅 - Dimsum & Lẩu Hải Sản HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2,foody_images\7_港式点心火锅 - Dimsum & Lẩu Hải Sản HongKong.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdh60adkyqj56@resize_ss640x400,10.7519897,106.6655751
SteakZone,"77 Lê Quang Sung, P. 6, Quận 6, TP. HCM",3.7,foody_images\8_SteakZone.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9pjg9gdcp31@resize_ss640x400,10.7510643,106.649158
Bún Chả Hồ Gươm - Bún Chả Hà Nội - Trương Định,"29 Trương Định, P. 6, Quận 3, TP. HCM",3.2,foody_images\9_Bún Chả Hồ Gươm - Bún Chả Hà Nội - Trương Định.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstpn9tnosecaf@resize_ss640x400,10.7799398,106.6873324
Koo Kui Desserts - Cổ Cư Chè Quán,"949 Nguyễn Trãi, P. 14, Quận 5, TP. HCM",3.5,foody_images\10_Koo Kui Desserts - Cổ Cư Chè Quán.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m9fouv8r6bnm1b@resize_ss640x400,10.757729,106.6793772
Gà Rán & Burger Lotteria - Hoàng Sa,"158-160 Lê Bình, P. 4, Quận Tân Bình, TP. HCM",2.6,foody_images\11_Gà Rán & Burger Lotteria - Hoàng Sa.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwarazfgdk2h2f@resize_ss640x400,10.5039794,107.1794905
Con Gà Mái - Cơm Gà Phú Yên - 90 Nguyễn Văn Trỗi,"90 Nguyễn Văn Trỗi, P. 8, Quận Phú Nhuận, TP. HCM",3.0,foody_images\12_Con Gà Mái - Cơm Gà Phú Yên - 90 Nguyễn Văn Trỗi.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdgtjbj7tuj73@resize_ss640x400,10.9585901,106.7406408
Domino’s Pizza - Đinh Bộ Lĩnh,"138 Đinh Bộ Lĩnh, P. 26, Quận Bình Thạnh, TP. HCM",4.0,foody_images\13_Domino’s Pizza - Đinh Bộ Lĩnh.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mh7b6n0cq0b326@resize_ss640x400,10.8119785,106.7091493
Phúc Long 42 Ngô Đức Kế,"42 Ngô Đức Kế, P. Bến Nghé, Quận 1, TP. HCM",3.5,foody_images\14_Phúc Long 42 Ngô Đức Kế.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu731nqmm8903@resize_ss640x400,10.8084,106.6980444
茶餐厅 - Cha Chaan Teng - Ẩm Thực HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2,foody_images\15_茶餐厅 - Cha Chaan Teng - Ẩm Thực HongKong.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3ko177auawlb8@resize_ss640x400,10.7519897,106.6655751
Bún Mắm Nêm Đà Nẵng 168,"168 Bàu Cát 1, P. 12, Quận Tân Bình, TP. HCM",3.5,foody_images\16_Bún Mắm Nêm Đà Nẵng 168.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwc0w0iytga9@resize_ss640x400,10.7943594,106.6426951
Bánh Xèo Cô Nguyệt,"774 Quang Trung, P. 8, Quận Gò Vấp, TP. HCM",2.4,foody_images\17_Bánh Xèo Cô Nguyệt.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstupvjtu2e177@resize_ss640x400,10.8288432,106.6731759
Súp Cua Ghiền - Huỳnh Mẫn Đạt,"43 Huỳnh Mẫn Đạt, P. 19, Quận Bình Thạnh, TP. HCM",3.5,foody_images\18_Súp Cua Ghiền - Huỳnh Mẫn Đạt.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsuasfemsgjoe7@resize_ss640x400,10.7531538,106.6771364
Cà Phê Muối Chú Long - Thành Thái,"130 Thành Thái, P.12, Quận 10, TP. HCM",3.4,foody_images\19_Cà Phê Muối Chú Long - Thành Thái.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m6tchaquosdd2d@resize_ss640x400,10.7725991,106.665094
Cơm Tấm Phúc Lộc Thọ - Nguyễn Duy Trinh,"256 Nguyễn Duy Trinh, P. Bình Trưng Tây , Tp. Thủ Đức, TP. HCM",3.2,foody_images\20_Cơm Tấm Phúc Lộc Thọ - Nguyễn Duy Trinh.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu30d84u9p58c@resize_ss640x400,10.7881294,106.7572908
Chè HongKong - 港式糖水 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\21_Chè HongKong - 港式糖水 - Phan Phú Tiên.jpg,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3j97krudu4c04@resize_ss640x400,10.7519897,106.6655751
吐司工坊 奶茶档 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\22_吐司工坊 奶茶档 - Phan Phú Tiên.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi49ii0tn1723@resize_ss640x400,10.7519897,106.6655751
Lẩu Cá Thác Lác Tươi Đặc Biệt  - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5,foody_images\23_Lẩu Cá Thác Lác Tươi Đặc Biệt  - Phan Phú Tiên.jpg,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8kujo88b17c7@resize_ss640x400,10.7519897,106.6655751
La Fiesta - Mexican Restaurant,"128 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",4.1,foody_images\24_La Fiesta - Mexican Restaurant.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lzu6smb4gyhtab@resize_ss640x400,10.7785749,106.7016045
RjnCooking - Ăn Vặt Hàn Quốc - Huỳnh Văn Chính,"18B/004 Chung Cư Huỳnh Văn Chính 1, P. Phú Trung, Quận Tân Phú, TP. HCM",3.6,foody_images\25_RjnCooking - Ăn Vặt Hàn Quốc - Huỳnh Văn Chính.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu1z5l78jo9d0@resize_ss640x400,10.7812401,106.6415208
Sister Coffee & Tea,"2384 Phạm Thế Hiển, P. 6, Quận 8, TP. HCM",2.8,foody_images\26_Sister Coffee & Tea.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu31xsq1yu104@resize_ss640x400,10.7479377,106.6810737
"Highlands Coffee - Trà, Cà Phê & Bánh - Satramart 3/2","460 Đường 3 Tháng 2, P. 12, Quận 10, TP. HCM",3.3,"foody_images\27_Highlands Coffee - Trà, Cà Phê & Bánh - Satramart.jpg",https://down-vn.img.susercontent.com/vn-11134513-820l4-mh2pb97u0gzw82@resize_ss640x400,10.7687181,106.6675386
Mì Ốc Hến Dì Lan - Cư Xá Đồng Tiến,"1A Cư Xá Đồng Tiến, P. 10, Quận 10, TP. HCM",2.6,foody_images\28_Mì Ốc Hến Dì Lan - Cư Xá Đồng Tiến.jpg,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu14bs9au8p57@resize_ss640x400,10.7697243,106.6647926
Trà sữa Maycha - Tô Hiến Thành,"177 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",0.5,foody_images\29_Trà sữa Maycha - Tô Hiến Thành.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgdbni6rbnrhea@resize_ss640x400,10.7806089,106.6690519
Cheese Coffee - Đinh Tiên Hoàng,"45 Đinh Tiên Hoàng, P. Bến Nghé, Quận 1, TP. HCM",3.2,foody_images\30_Cheese Coffee - Đinh Tiên Hoàng.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgvrbyw43095c2@resize_ss640x400,10.7856199,106.701644
Phúc Long Cộng Hoà,"1B Cộng Hòa, Quận Tân Bình, TP. HCM",3.4,foody_images\31_Phúc Long Cộng Hoà.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu730dhpngpf4@resize_ss640x400,10.8006115,106.6606041
Phúc Long Thắng Lợi,"Số 2 Trường Chinh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",2.1,foody_images\32_Phúc Long Thắng Lợi.jpg,https://down-vn.img.susercontent.com/vn-11134513-820l4-mgu739efobnv64@resize_ss640x400,10.8302552,106.6230369
