Name,Location,Rating
Sữa Chua Trân Châu Hạ Long - Nguyễn Đức Cảnh,"2 Nguyễn Đức Cảnh, P Tân Phong, Quận 7, TP. HCM",0.5
Phố Thành - Bánh Xèo Rau Rừng - Đường Số 41,"97 Đường Số 41, P. 6, Quận 4, TP. HCM",2.1
Mì Dầu Hào HongKong Thượng Hạng 港式蚝油捞面 - ChaChaanTeng - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
Đậu Hủ Cá Viên HongKong 港式鱼丸豆腐 - ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
Xôi Cadé Trần Phú Chính Gốc - 咖椰糯米饭,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.3
Kaya Toast Nướng - Cá Viên 咖椰吐司-鱼丸 & ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2
Chè Thái Út Lyly,"384 Nguyễn Trọng Tuyển, P. 2, Quận Tân Bình, TP. HCM",4.4
"Len Tea - Trà Trái Cây, Trà Sữa & Bánh Tráng Tây Ninh","28/60 Dọc Kênh, P. Hiệp Thành, Quận 12, TP. HCM",5.0
Bún Chả Hà Nội Số 1 Lala - Nguyễn Gia Trí,"40A Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",2.5
American Hotdog,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
茶餐厅 - Cha Chaan Teng - Ẩm Thực HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2
港式甜品店 Trôi Nước HongKong - ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.6
港式点心火锅 - Dimsum & Lẩu Hải Sản HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.2
Tiramisu Kiểu Italy Nguyên Bản Thủ Công - Breakfast Shop - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
吐司工坊 奶茶档 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
Chè HongKong - 港式糖水 - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
Lẩu Cá Thác Lác Tươi Đặc Biệt  - Phan Phú Tiên,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.5
Chè Người Hoa An Điềm,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",3.4
WOWTEA - Milo Dầm & Trà Sữa - Cô Bắc,"116 Cô Bắc, P. Cô Giang, Quận 1, TP. HCM",4.9
Gà Tiềm Vinh Hòa,"47bis Huỳnh Khương Ninh, P. Dakao, Quận 1, TP. HCM",3.2
Mì Trộn Tóp Mỡ Trứng Lòng Đào Bãi Sậy,"566 Nguyễn Trãi, P. 8, Quận 5, TP. HCM",3.5
Bún Đậu Homemade - Đồng Đen,"241 Đồng Đen, P. 11, Quận Tân Bình, TP. HCM",3.0
Bún Mắm Phượng - Bún Mắm Đầu Cá Lóc - Chung Cư Nguyễn Thiện Thuật,"027-029 Lô E Chung Cư Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",2.0
Gà Lắc Phô Mai,"142 Nguyễn Văn Đậu, P. 7, Quận Bình Thạnh, TP. HCM",4.1
SteakZone,"77 Lê Quang Sung, P. 6, Quận 6, TP. HCM",3.7
Cơm Tấm Phúc Lộc Thọ - A53 Tô Ký,"A52 - A53 Tô Ký, P. Đông Hưng Thuận, Quận 12, TP. HCM",4.2
Phở Phong Cách - Đường Số 45,"107 Đường Số 45, Quận 4, TP. HCM",3.6
Miến Lươn Xứ Nghệ Kim Liên,"38 Thái Thuận, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",4.3
Cơm Tấm Hẻm 600,"Hẻm 600 Minh Phụng, Quận 11, TP. HCM",4.2
Bún Cá Nha Trang - Nem Nướng Nha Trang Yến - An Dương Vương,"410-412 An Dương Vương P. 4 (Cũ 197C Lê Hồng Phong, P. 4), Quận 5, TP. HCM",3.1
Rất Quảng Quán - Mì Quảng,"35 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",4.2
Chay Rau Củ Nấm Vegan - Lê Văn Lương,"557 Lê Văn Lương, Quận 7, TP. HCM",3.5
Đồng Xuân - Bún Đậu Mắm Tôm,"81B Nguyễn Sơn, P. Phú Thạnh, Quận Tân Phú, TP. HCM",3.7
